location,age_group_id,mean
CUB,38,0.445
CUB,10,0.345
CUB,11,0.422
CUB,12,0.47
CUB,13,0.506
CUB,14,0.526
CUB,15,0.51
CUB,16,0.523
CUB,17,0.53
CUB,18,0.502
CUB,19,0.494
CUB,20,0.453
CUB,21,0.401
CYP,34,0.201
CYP,36,0.241
CYP,6,0.253
CYP,7,0.292
CYP,8,0.211
CYP,9,0.353
CYP,38,0.596
CYP,10,0.462
CYP,11,0.505
CYP,12,0.585
CYP,13,0.623
CYP,14,0.68
CYP,15,0.715
CYP,16,0.713
CYP,17,0.753
CYP,18,0.76
CYP,19,0.756
CYP,20,0.686
CYP,21,0.607
CZE,34,0.22
CZE,36,0.202
CZE,6,0.184
CZE,7,0.241
CZE,8,0.164
CZE,9,0.282
CZE,38,0.579
CZE,10,0.41
CZE,11,0.533
CZE,12,0.485
CZE,13,0.579
CZE,14,0.681
CZE,15,0.696
CZE,16,0.753
CZE,17,0.777
CZE,18,0.797
CZE,19,0.78
CZE,20,0.743
CZE,21,0.678
D0,34,0.134
D0,36,0.131
D0,6,0.139
D0,7,0.144
D0,8,0.108
D0,9,0.176
D0,38,0.322
D0,10,0.243
D0,11,0.295
D0,12,0.34
D0,13,0.366
D0,14,0.384
D0,15,0.398
D0,16,0.392
D0,17,0.386
D0,18,0.379
D0,19,0.353
D0,20,0.328
D0,21,0.294
D1,34,0.203
D1,36,0.233
D1,6,0.227
D1,7,0.272
D1,8,0.225
D1,9,0.33
D1,38,0.539
D1,10,0.419
D1,11,0.49
D1,12,0.523
D1,13,0.566
D1,14,0.606
D1,15,0.647
D1,16,0.664
D1,17,0.661
D1,18,0.637
D1,19,0.659
D1,20,0.614
D1,21,0.549
DEU,34,0.162
DEU,36,0.2
DEU,6,0.192
DEU,7,0.237
DEU,8,0.203
DEU,9,0.331
DEU,38,0.567
DEU,10,0.429
DEU,11,0.479
DEU,12,0.525
DEU,13,0.576
DEU,14,0.609
DEU,15,0.67
DEU,16,0.696
DEU,17,0.739
DEU,18,0.737
DEU,19,0.766
DEU,20,0.758
DEU,21,0.657
DJI,34,0.236
DJI,36,0.162
DJI,6,0.173
DJI,7,0.134
DJI,8,0.115
DJI,9,0.178
DJI,38,0.349
DJI,10,0.243
DJI,11,0.293
DJI,12,0.332
DJI,13,0.368
DJI,14,0.384
DJI,15,0.423
DJI,16,0.453
DJI,17,0.47
DJI,18,0.461
DJI,19,0.465
DJI,20,0.444
DJI,21,0.405
DMA,34,0.221
DMA,36,0.22
DMA,6,0.229
DMA,7,0.243
DMA,8,0.187
DMA,9,0.316
DMA,38,0.559
DMA,10,0.413
DMA,11,0.477
DMA,12,0.528
DMA,13,0.587
DMA,14,0.629
DMA,15,0.669
DMA,16,0.7
DMA,17,0.714
DMA,18,0.702
DMA,19,0.701
DMA,20,0.69
DMA,21,0.682
DNK,34,0.196
DNK,36,0.196
DNK,6,0.193
DNK,7,0.206
DNK,8,0.187
DNK,9,0.319
DNK,38,0.519
DNK,10,0.391
DNK,11,0.452
DNK,12,0.519
DNK,13,0.548
DNK,14,0.586
DNK,15,0.613
DNK,16,0.628
DNK,17,0.641
DNK,18,0.647
DNK,19,0.625
DNK,20,0.616
DNK,21,0.535
DOM,34,0.161
DOM,36,0.215
DOM,6,0.171
DOM,7,0.28
DOM,8,0.243
DOM,9,0.357
DOM,38,0.528
DOM,10,0.465
DOM,11,0.504
DOM,12,0.528
DOM,13,0.563
DOM,14,0.588
DOM,15,0.65
DOM,16,0.622
DOM,17,0.594
DOM,18,0.564
DOM,19,0.686
DOM,20,0.453
DOM,21,0.385
DZA,34,0.251
DZA,36,0.258
DZA,6,0.252
DZA,7,0.276
DZA,8,0.251
DZA,9,0.364
DZA,38,0.499
